delta,Method,AvgPayoff,DecisionMargin,WorstCase_Q5
0,Type-1,0.870808546101465,0,0.870808546101465
0,IT2-midpoint,0.870808546101465,0,0.870808546101465
0,Hurwicz-fixed,0.876438011760567,0.0144450552847811,0.876438011760567
0,Proposed,0.870808546101465,0,0.870808546101465
0,Worst-case(a->0),0.870808546101465,0,0.870808546101465
0.05,Type-1,0.870808546101465,0,0.865901376972208
0.05,IT2-midpoint,0.86915424488793,0,0.86608959840072
0.05,Hurwicz-fixed,0.874629219721769,0.0144450552847811,0.871510899374218
0.05,Proposed,0.874629219721769,0.0144450552847811,0.871510899374218
0.05,Worst-case(a->0),0.879929778116618,0.0280556697185269,0.876761356621297
0.1,Type-1,0.870808546101465,0,0.860250636615111
0.1,IT2-midpoint,0.864211032830073,0,0.86101839875168
0.1,Hurwicz-fixed,0.869202843605374,0.0144450552847811,0.865818468398692
0.1,Proposed,0.875250568446215,0.0279457922754747,0.871678408769052
0.1,Worst-case(a->0),0.8854561128201,0.0526318458787094,0.881531957511887
0.2,Type-1,0.870808546101465,0,0.845604246816865
0.2,IT2-midpoint,0.844766646264777,0,0.848298505776072
0.2,Hurwicz-fixed,0.847497339139797,0.0144450552847811,0.850901527639482
0.2,Proposed,0.867923677709087,0.0516844466772268,0.867879904692077
0.2,Worst-case(a->0),0.886789176224207,0.0915804407967808,0.883057474578409
